rna,time
file_8.fasta,0.8738855231891979
file_58.fasta,0.6774170832200483
file_91.fasta,0.3184200633655895
file_72.fasta,0.7282817580483176
file_22.fasta,0.44057427753101697
file_92.fasta,0.14563742550936612
file_29.fasta,0.2819867350838401
file_69.fasta,0.21371210705150256
file_49.fasta,0.31533011523160065
file_25.fasta,0.7546818689866499
file_86.fasta,0.18515478480945935
file_94.fasta,0.18110914663835007
file_1.fasta,0.1613422307101163
file_96.fasta,0.38522408225319604
file_81.fasta,0.2431931495666504
file_13.fasta,0.24887429584156384
file_95.fasta,0.7778231664137407
file_44.fasta,0.3807782910086892
file_43.fasta,0.5969085693359375
file_83.fasta,0.17980452017350632
file_12.fasta,0.2770601619373668
file_52.fasta,0.40331771157004614
file_9.fasta,0.5483070286837491
file_5.fasta,0.2782330729744651
file_46.fasta,0.7010885802182284
file_11.fasta,0.34116677804426715
file_33.fasta,0.3898079612038352
file_3.fasta,0.6044951352206144
file_26.fasta,0.20243128863247958
file_62.fasta,0.6997003772042014
file_41.fasta,0.4993997703899037
file_77.fasta,0.56713190945712
file_4.fasta,0.16362400488419968
file_75.fasta,0.3211860656738281
file_38.fasta,0.48024645718661224
file_16.fasta,0.5607257756319913
file_40.fasta,0.4451076550917192
file_35.fasta,0.5099550810727206
file_34.fasta,0.5944532914595171
file_79.fasta,0.21710642901333896
file_32.fasta,0.2938041687011719
file_14.fasta,0.5765479911457408
file_87.fasta,0.22251673178239303
file_24.fasta,0.5929238796234131
file_80.fasta,0.3345478881489147
file_84.fasta,0.12218403816223145
file_82.fasta,0.28700310533696954
file_28.fasta,0.5953483581542969
file_57.fasta,0.35902218385176227
file_15.fasta,0.3445328582416881
file_0.fasta,0.47488553524017335
file_37.fasta,0.7211556217887185
file_21.fasta,0.4001644958149303
file_2.fasta,0.2411213137886741
file_93.fasta,0.4949090914292769
file_36.fasta,0.22413667765530673
file_7.fasta,0.13408283753828568
file_89.fasta,0.3648982915011319
file_85.fasta,0.46880663524974475
file_42.fasta,0.46684828671542083
file_68.fasta,0.1746943863955411
file_55.fasta,0.38196344809098676
file_59.fasta,0.6004738374189897
file_45.fasta,0.45930678194219415
file_88.fasta,0.4192686514420943
file_48.fasta,0.5699242678555575
file_90.fasta,0.3080940680070357
file_10.fasta,0.49511354619806464
file_51.fasta,0.4214422269300981
file_56.fasta,0.6422491290352561
file_54.fasta,0.4135036251761697
file_30.fasta,0.6190337051044811
file_63.fasta,0.505329045382413
file_47.fasta,0.49858684973283246
file_78.fasta,0.545152339068326
file_20.fasta,0.38306427001953125
file_97.fasta,1.0945008668032559
file_19.fasta,0.18572564558549362
file_23.fasta,0.30964320356195624
file_53.fasta,0.44302014871077106
file_31.fasta,0.2125000303441828
file_60.fasta,0.38523567806590686
file_73.fasta,0.2978990294716575
file_27.fasta,0.3610007979653098
file_74.fasta,0.8680119947953657
file_64.fasta,0.692100850018588
file_98.fasta,0.6416565938429399
file_65.fasta,0.5599738684567538
file_76.fasta,0.1906123161315918
file_67.fasta,0.3304170911962336
file_99.fasta,0.26700282096862793
file_61.fasta,0.16721140254627576
file_17.fasta,0.47214878689159046
file_6.fasta,0.1642317988655784
file_18.fasta,0.16476696187799628
file_70.fasta,0.17877656763250177
file_71.fasta,0.6308284889567982
file_39.fasta,0.4871376427737149
file_50.fasta,0.6745775829661976
file_66.fasta,0.21004767851396042
