rna,CLASH
00002_cppc_0001137.pdb,2.91
00001_cppc_0000195.pdb,2.77
00001_cppc_0000780.pdb,2.78
00001_cppc_0000964.pdb,2.97
00001_cppc_0000014.pdb,2.98
00001_cppc_0000214.pdb,2.83
00001_cppc_0000995.pdb,2.86
00001_cppc_0000402.pdb,2.86
00001_cppc_0000574.pdb,2.78
00001_cppc_0000100.pdb,2.83
