,Name,Cluster
0,00002_cppc_0001137,0
1,00001_cppc_0000195,1
2,00001_cppc_0000780,2
3,00001_cppc_0000964,3
4,00001_cppc_0000014,4
5,00001_cppc_0000214,5
6,00001_cppc_0000995,6
7,00001_cppc_0000402,7
8,00001_cppc_0000574,8
9,00001_cppc_0000100,9
