,badBondsCategory,badAnglesCategory,rankCategory
00001_cppc_0000801.pdb,Warning,Good,Warning
00013_cppc_0012388.pdb,Warning,Good,Caution
00003_cppc_0002652.pdb,Warning,Good,Warning
00002_cppc_0001640.pdb,Warning,Good,Warning
00008_cppc_0007056.pdb,Warning,Good,Warning
00012_cppc_0011954.pdb,Warning,Good,Warning
00007_cppc_0006249.pdb,Warning,Good,Warning
00010_cppc_0009644.pdb,Warning,Good,Warning
00007_cppc_0006210.pdb,Warning,Good,Warning
00013_cppc_0012783.pdb,Warning,Good,Warning
00009_cppc_0008980.pdb,Warning,Good,Warning
00009_cppc_0008708.pdb,Warning,Good,Warning
00033_cpr7p_0019257.pdb,Warning,Good,Warning
00008_cppc_0007805.pdb,Warning,Good,Warning
00003_cppc_0002394.pdb,Warning,Good,Warning
00002_cppc_0001727.pdb,Warning,Good,Warning
00002_cppc_0001117.pdb,Warning,Good,Warning
00009_cppc_0008070.pdb,Warning,Good,Warning
00004_cppc_0003804.pdb,Warning,Good,Warning
00012_cppc_0011178.pdb,Warning,Good,Warning
00009_cppc_0008797.pdb,Warning,Good,Warning
00003_cppc_0002342.pdb,Warning,Good,Warning
00043_cpr7p_0029068.pdb,Warning,Good,Warning
00002_cppc_0001939.pdb,Warning,Good,Caution
00010_cppc_0009152.pdb,Warning,Good,Warning
00001_cppc_0000630.pdb,Warning,Good,Warning
00005_cppc_0004580.pdb,Warning,Good,Caution
00043_cpr7p_0029450.pdb,Warning,Good,Warning
00001_cppc_0000138.pdb,Warning,Good,Warning
00013_cppc_0012019.pdb,Warning,Good,Warning
00011_cppc_0010924.pdb,Warning,Good,Caution
00010_cppc_0009058.pdb,Warning,Good,Warning
00013_cppc_0012542.pdb,Warning,Good,Warning
00002_cppc_0001329.pdb,Warning,Good,Warning
00009_cppc_0008369.pdb,Warning,Good,Warning
00005_cppc_0004757.pdb,Warning,Good,Warning
00006_cppc_0005979.pdb,Warning,Good,Warning
00045_cpr7p_0031460.pdb,Warning,Good,Warning
00012_cppc_0011611.pdb,Warning,Good,Warning
00012_cppc_0011147.pdb,Warning,Good,Warning
00010_cppc_0009544.pdb,Warning,Good,Warning
00009_cppc_0008971.pdb,Warning,Good,Warning
00009_cppc_0008458.pdb,Warning,Good,Warning
00002_cppc_0001395.pdb,Warning,Caution,Warning
00035_cpr7p_0021085.pdb,Warning,Good,Warning
00001_cppc_0000468.pdb,Warning,Good,Warning
00004_cppc_0003855.pdb,Warning,Caution,Caution
00013_cppc_0012297.pdb,Warning,Good,Warning
00007_cppc_0006667.pdb,Warning,Good,Warning
00001_cppc_0000983.pdb,Warning,Good,Warning
00004_cppc_0003563.pdb,Warning,Caution,Warning
00009_cppc_0008749.pdb,Warning,Good,Warning
00002_cppc_0001786.pdb,Warning,Good,Warning
00009_cppc_0008910.pdb,Warning,Good,Caution
00006_cppc_0005476.pdb,Warning,Caution,Warning
00012_cppc_0011839.pdb,Warning,Good,Warning
00004_cppc_0003426.pdb,Warning,Good,Warning
00002_cppc_0001307.pdb,Warning,Caution,Warning
00005_cppc_0004539.pdb,Warning,Good,Warning
00050_cpr7p_0036364.pdb,Warning,Caution,Warning
00010_cppc_0009774.pdb,Warning,Good,Warning
00013_cppc_0012650.pdb,Warning,Good,Warning
00004_cppc_0003575.pdb,Warning,Good,Caution
00010_cppc_0009574.pdb,Warning,Good,Warning
00008_cppc_0007114.pdb,Warning,Good,Warning
00004_cppc_0003893.pdb,Warning,Good,Warning
00012_cppc_0011989.pdb,Warning,Good,Warning
00003_cppc_0002505.pdb,Warning,Caution,Warning
00001_cppc_0000653.pdb,Warning,Good,Warning
00001_cppc_0000762.pdb,Warning,Good,Warning
00012_cppc_0011811.pdb,Warning,Good,Warning
00011_cppc_0010760.pdb,Warning,Good,Warning
00027_cpr7p_0012830.pdb,Warning,Good,Caution
00011_cppc_0010089.pdb,Warning,Good,Warning
00003_cppc_0002098.pdb,Warning,Good,Warning
00005_cppc_0004396.pdb,Warning,Good,Warning
00013_cppc_0012990.pdb,,,
00002_cppc_0001951.pdb,Warning,Good,Warning
00004_cppc_0003338.pdb,Warning,Good,Warning
00013_cppc_0012722.pdb,Warning,Good,Warning
00003_cppc_0002594.pdb,Warning,Good,Warning
00013_cppc_0012844.pdb,Warning,Good,Warning
00009_cppc_0008245.pdb,Warning,Good,Warning
00008_cppc_0007816.pdb,Warning,Good,Warning
00030_cpr7p_0015783.pdb,Warning,Good,Warning
00004_cppc_0003083.pdb,Warning,Good,Warning
00003_cppc_0002232.pdb,Warning,Good,Warning
00007_cppc_0006484.pdb,Warning,Good,Caution
00005_cppc_0004263.pdb,Warning,Good,Warning
00007_cppc_0006931.pdb,Warning,Good,Warning
00010_cppc_0009287.pdb,Warning,Good,Warning
00006_cppc_0005580.pdb,Warning,Good,Warning
00003_cppc_0002183.pdb,Warning,Good,Warning
00010_cppc_0009240.pdb,Warning,Good,Warning
00011_cppc_0010852.pdb,Warning,Good,Warning
00003_cppc_0002374.pdb,Warning,Good,Warning
00010_cppc_0009856.pdb,Warning,Good,Warning
00009_cppc_0008107.pdb,Warning,Good,Warning
00011_cppc_0010662.pdb,,,
00014_cppc_0013220.pdb,Warning,Good,Warning
00002_cppc_0001537.pdb,Warning,Good,Warning
00003_cppc_0002210.pdb,Warning,Good,Warning
00005_cppc_0004549.pdb,Warning,Good,Warning
00005_cppc_0004183.pdb,Warning,Good,Warning
00001_cppc_0000526.pdb,Warning,Good,Warning
00013_cppc_0012461.pdb,,,
00006_cppc_0005494.pdb,Warning,Caution,Warning
00029_cpr7p_0014898.pdb,Warning,Good,Warning
00013_cppc_0012665.pdb,Warning,Good,Warning
00012_cppc_0011661.pdb,Warning,Good,Warning
00006_cppc_0005485.pdb,Warning,Good,Warning
00001_cppc_0000847.pdb,Warning,Good,Warning
00010_cppc_0009788.pdb,Warning,Good,Warning
00003_cppc_0002364.pdb,Warning,Good,Warning
00012_cppc_0011336.pdb,Warning,Good,Warning
00011_cppc_0010234.pdb,Warning,Good,Warning
00045_cpr7p_0031181.pdb,Warning,Good,Warning
00002_cppc_0001771.pdb,Warning,Good,Warning
00010_cppc_0009735.pdb,Warning,Good,Caution
00005_cppc_0004207.pdb,Warning,Good,Warning
00006_cppc_0005718.pdb,Warning,Good,Warning
00034_cpr7p_0020224.pdb,Warning,Good,Warning
00011_cppc_0010416.pdb,Warning,Good,Warning
00029_cpr7p_0015470.pdb,Warning,Good,Warning
00008_cppc_0007157.pdb,Warning,Good,Warning
00002_cppc_0001741.pdb,Warning,Good,Warning
00012_cppc_0011542.pdb,Warning,Good,Warning
00012_cppc_0011890.pdb,Warning,Good,Warning
00004_cppc_0003588.pdb,Warning,Good,Warning
00010_cppc_0009509.pdb,Warning,Good,Warning
00009_cppc_0008171.pdb,Warning,Good,Warning
00012_cppc_0011783.pdb,Warning,Good,Warning
00050_cpr7p_0035594.pdb,Warning,Good,Warning
00005_cppc_0004059.pdb,Warning,Good,Warning
00004_cppc_0003433.pdb,Warning,Good,Warning
00005_cppc_0004188.pdb,Warning,Good,Warning
00010_cppc_0009439.pdb,Warning,Good,Warning
00012_cppc_0011968.pdb,Warning,Good,Warning
00002_cppc_0001491.pdb,Warning,Good,Warning
00012_cppc_0011029.pdb,Warning,Good,Warning
00010_cppc_0009409.pdb,Warning,Good,Warning
00012_cppc_0011339.pdb,Warning,Good,Warning
00009_cppc_0008228.pdb,Warning,Caution,Warning
00012_cppc_0011003.pdb,Warning,Good,Warning
00004_cppc_0003420.pdb,Warning,Good,Warning
00010_cppc_0009489.pdb,Warning,Good,Warning
00011_cppc_0010501.pdb,Warning,Good,Warning
00008_cppc_0007767.pdb,Warning,Good,Warning
00007_cppc_0006161.pdb,Warning,Good,Warning
00044_cpr7p_0030066.pdb,Warning,Good,Warning
00009_cppc_0008809.pdb,Warning,Good,Warning
00006_cppc_0005049.pdb,Warning,Good,Warning
00002_cppc_0001739.pdb,Warning,Good,Warning
00001_cppc_0000108.pdb,Warning,Good,Warning
00027_cpr7p_0012758.pdb,Warning,Good,Warning
00007_cppc_0006497.pdb,Warning,Good,Warning
00009_cppc_0008349.pdb,Warning,Good,Warning
00002_cppc_0001428.pdb,Warning,Good,Warning
00005_cppc_0004091.pdb,Warning,Good,Warning
00011_cppc_0010834.pdb,Warning,Caution,Warning
00005_cppc_0004501.pdb,Warning,Good,Warning
00006_cppc_0005195.pdb,Warning,Good,Warning
00002_cppc_0001868.pdb,Warning,Good,Warning
00007_cppc_0006258.pdb,Warning,Good,Warning
00017_cpr7p_0003468.pdb,Warning,Good,Caution
00004_cppc_0003462.pdb,Warning,Good,Warning
00011_cppc_0010342.pdb,,,
00022_cpr7p_0007737.pdb,Warning,Good,Caution
00050_cpr7p_0036133.pdb,Warning,Caution,Warning
00010_cppc_0009700.pdb,Warning,Good,Warning
00002_cppc_0001171.pdb,Warning,Good,Good
00007_cppc_0006291.pdb,Warning,Good,Warning
00014_cppc_0013192.pdb,Warning,Good,Warning
00036_cpr7p_0022200.pdb,Warning,Good,Warning
00042_cpr7p_0028201.pdb,Warning,Good,Warning
00019_cpr7p_0005470.pdb,Warning,Good,Warning
00003_cppc_0002742.pdb,Warning,Good,Warning
00004_cppc_0003341.pdb,Warning,Good,Warning
00004_cppc_0003787.pdb,Warning,Caution,Warning
00005_cppc_0004529.pdb,Warning,Good,Warning
00006_cppc_0005126.pdb,Warning,Good,Caution
00045_cpr7p_0031232.pdb,Warning,Good,Warning
00002_cppc_0001626.pdb,Warning,Good,Warning
00007_cppc_0006469.pdb,Warning,Good,Warning
00014_cppc_0013066.pdb,Warning,Good,Warning
00006_cppc_0005235.pdb,Warning,Good,Warning
00046_cpr7p_0031696.pdb,Warning,Good,Warning
00005_cppc_0004369.pdb,Warning,Good,Warning
00023_cpr7p_0008626.pdb,Warning,Good,Warning
00001_cppc_0000295.pdb,Warning,Good,Warning
00009_cppc_0008399.pdb,Warning,Good,Caution
00007_cppc_0006316.pdb,Warning,Good,Warning
00003_cppc_0002433.pdb,Warning,Good,Caution
00011_cppc_0010627.pdb,Warning,Good,Warning
00008_cppc_0007961.pdb,Warning,Good,Warning
00009_cppc_0008508.pdb,Warning,Good,Warning
00049_cpr7p_0035053.pdb,Warning,Good,Warning
00013_cppc_0012504.pdb,Warning,Caution,Caution
00011_cppc_0010570.pdb,Warning,Good,Warning
00010_cppc_0009308.pdb,Warning,Good,Caution
00013_cppc_0012102.pdb,Warning,Good,Warning
00011_cppc_0010197.pdb,Warning,Good,Warning
00011_cppc_0010642.pdb,Warning,Good,Warning
00002_cppc_0001592.pdb,Warning,Good,Warning
00002_cppc_0001931.pdb,Warning,Good,Caution
00009_cppc_0008311.pdb,Warning,Good,Warning
00049_cpr7p_0034685.pdb,Warning,Good,Warning
00019_cpr7p_0005200.pdb,Warning,Good,Warning
00008_cppc_0007029.pdb,Warning,Good,Warning
00003_cppc_0002214.pdb,Warning,Good,Warning
00001_cppc_0000062.pdb,Warning,Good,Warning
00026_cpr7p_0012421.pdb,Warning,Good,Warning
00004_cppc_0003413.pdb,,,
00002_cppc_0001089.pdb,Warning,Good,Warning
00006_cppc_0005735.pdb,Warning,Good,Caution
00034_cpr7p_0020054.pdb,Warning,Good,Warning
00008_cppc_0007587.pdb,Warning,Good,Warning
00035_cpr7p_0020663.pdb,Warning,Good,Warning
00005_cppc_0004669.pdb,Warning,Good,Warning
00008_cppc_0007355.pdb,Warning,Good,Warning
00005_cppc_0004390.pdb,Warning,Good,Warning
00002_cppc_0001950.pdb,Warning,Good,Warning
00003_cppc_0002514.pdb,Warning,Good,Warning
00025_cpr7p_0011045.pdb,Warning,Good,Warning
00013_cppc_0012886.pdb,Warning,Good,Caution
00002_cppc_0001287.pdb,Warning,Good,Warning
00007_cppc_0006997.pdb,Warning,Good,Warning
00002_cppc_0001030.pdb,Warning,Good,Caution
00008_cppc_0007135.pdb,Warning,Good,Caution
00010_cppc_0009843.pdb,Warning,Good,Warning
00006_cppc_0005526.pdb,Warning,Good,Warning
00008_cppc_0007800.pdb,Warning,Good,Warning
00004_cppc_0003849.pdb,Warning,Good,Warning
00022_cpr7p_0008144.pdb,Warning,Good,Warning
00008_cppc_0007286.pdb,Warning,Good,Warning
00006_cppc_0005052.pdb,Warning,Good,Warning
00009_cppc_0008787.pdb,Warning,Good,Warning
00011_cppc_0010199.pdb,Warning,Good,Warning
00004_cppc_0003708.pdb,Warning,Good,Warning
00006_cppc_0005965.pdb,Warning,Good,Warning
00007_cppc_0006208.pdb,Warning,Good,Warning
00010_cppc_0009610.pdb,Warning,Good,Good
00012_cppc_0011430.pdb,Warning,Good,Warning
00003_cppc_0002885.pdb,Warning,Good,Warning
00001_cppc_0000187.pdb,Warning,Caution,Warning
00002_cppc_0001455.pdb,Warning,Good,Warning
00014_cppc_0013424.pdb,Warning,Good,Caution
00009_cppc_0008605.pdb,Warning,Good,Warning
00009_cppc_0008088.pdb,Warning,Good,Warning
00011_cppc_0010311.pdb,Warning,Good,Warning
00009_cppc_0008610.pdb,Warning,Good,Warning
00005_cppc_0004856.pdb,Warning,Good,Warning
00001_cppc_0000958.pdb,Warning,Good,Caution
00012_cppc_0011418.pdb,Warning,Good,Warning
00023_cpr7p_0009498.pdb,Warning,Good,Caution
00013_cppc_0012514.pdb,Warning,Good,Warning
00033_cpr7p_0019232.pdb,Warning,Good,Warning
00009_cppc_0008798.pdb,Warning,Good,Warning
00007_cppc_0006566.pdb,Warning,Good,Warning
00009_cppc_0008983.pdb,Warning,Good,Caution
00012_cppc_0011052.pdb,Warning,Good,Warning
00012_cppc_0011687.pdb,Warning,Good,Warning
00007_cppc_0006615.pdb,Warning,Good,Warning
00003_cppc_0002229.pdb,,,
00049_cpr7p_0034747.pdb,Warning,Good,Warning
00010_cppc_0009007.pdb,Warning,Good,Warning
00029_cpr7p_0014654.pdb,Warning,Good,Warning
00005_cppc_0004908.pdb,Warning,Good,Warning
00009_cppc_0008472.pdb,Warning,Good,Warning
00011_cppc_0010347.pdb,Warning,Caution,Warning
00001_cppc_0000959.pdb,Warning,Good,Caution
00004_cppc_0003948.pdb,Warning,Good,Warning
00036_cpr7p_0022374.pdb,Warning,Good,Warning
00009_cppc_0008510.pdb,Warning,Good,Warning
00004_cppc_0003757.pdb,Warning,Good,Warning
00007_cppc_0006105.pdb,Warning,Good,Warning
00002_cppc_0001843.pdb,Warning,Good,Warning
00008_cppc_0007240.pdb,Warning,Good,Warning
00004_cppc_0003910.pdb,Warning,Good,Warning
00012_cppc_0011293.pdb,Warning,Good,Warning
00005_cppc_0004843.pdb,,,
00004_cppc_0003660.pdb,Warning,Good,Warning
00009_cppc_0008149.pdb,Warning,Good,Warning
00007_cppc_0006085.pdb,Warning,Good,Warning
00008_cppc_0007610.pdb,Warning,Good,Warning
00008_cppc_0007840.pdb,Warning,Good,Warning
00008_cppc_0007178.pdb,Warning,Good,Warning
00006_cppc_0005505.pdb,Warning,Good,Warning
00016_cpr7p_0002012.pdb,Warning,Good,Warning
00013_cppc_0012706.pdb,Warning,Good,Warning
00014_cppc_0013210.pdb,Warning,Good,Caution
00012_cppc_0011946.pdb,Warning,Good,Caution
00003_cppc_0002812.pdb,,,
00010_cppc_0009334.pdb,Warning,Good,Caution
00010_cppc_0010000.pdb,Warning,Caution,Warning
00007_cppc_0006563.pdb,Warning,Good,Warning
00043_cpr7p_0028832.pdb,Warning,Good,Warning
00040_cpr7p_0025929.pdb,Warning,Good,Warning
00005_cppc_0004271.pdb,Warning,Good,Warning
00007_cppc_0006441.pdb,Warning,Good,Warning
00008_cppc_0007461.pdb,Warning,Good,Warning
00004_cppc_0003363.pdb,Warning,Good,Warning
00013_cppc_0012549.pdb,Warning,Good,Warning
00014_cppc_0013003.pdb,Warning,Good,Warning
00007_cppc_0006900.pdb,Warning,Good,Warning
00003_cppc_0002294.pdb,Warning,Caution,Warning
00004_cppc_0003656.pdb,Warning,Good,Warning
00011_cppc_0010496.pdb,Warning,Good,Warning
00011_cppc_0010163.pdb,Warning,Good,Caution
00004_cppc_0003495.pdb,Warning,Good,Warning
00010_cppc_0009198.pdb,Warning,Good,Warning
00011_cppc_0010329.pdb,,,
00007_cppc_0006435.pdb,Warning,Good,Warning
00007_cppc_0006532.pdb,Warning,Good,Warning
00004_cppc_0003288.pdb,Warning,Good,Warning
00011_cppc_0010887.pdb,Warning,Good,Warning
00002_cppc_0001020.pdb,Warning,Good,Warning
00007_cppc_0006481.pdb,Warning,Good,Warning
00003_cppc_0002381.pdb,Warning,Good,Warning
00005_cppc_0004069.pdb,Warning,Good,Warning
00013_cppc_0012322.pdb,Warning,Good,Warning
00030_cpr7p_0016086.pdb,Warning,Good,Warning
00009_cppc_0008692.pdb,,,
00033_cpr7p_0019337.pdb,Warning,Good,Warning
00004_cppc_0003561.pdb,Warning,Good,Warning
00022_cpr7p_0008158.pdb,Warning,Good,Warning
00004_cppc_0003164.pdb,Warning,Good,Warning
00002_cppc_0001465.pdb,,,
00009_cppc_0008678.pdb,Warning,Good,Warning
00002_cppc_0001421.pdb,Warning,Good,Warning
00002_cppc_0001649.pdb,Warning,Good,Caution
00013_cppc_0012748.pdb,,,
00009_cppc_0008815.pdb,Warning,Good,Warning
00011_cppc_0010381.pdb,Warning,Good,Warning
00001_cppc_0000827.pdb,Warning,Good,Warning
